2024-08-20 21:32:42 INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-08-20 21:32:42 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.2.Final
2024-08-20 21:32:42 INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-08-20 21:32:43 INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-08-20 21:32:43 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-08-20 21:32:43 INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@50f05307
2024-08-20 21:32:43 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-08-20 21:32:47 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-08-20 21:32:47 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-08-20 21:32:49 WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-08-20 21:32:50 INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@1007954a, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@10770c1, org.springframework.security.web.context.SecurityContextHolderFilter@2c2dfde3, org.springframework.security.web.header.HeaderWriterFilter@189f2184, org.springframework.web.filter.CorsFilter@35ab0bf3, org.springframework.security.web.authentication.logout.LogoutFilter@6461c673, org.springframework.security.oauth2.server.resource.web.authentication.BearerTokenAuthenticationFilter@21e60eed, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@362109d0, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@46d2be66, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1676e501, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@dd26290, org.springframework.security.web.session.SessionManagementFilter@5f0c45ae, org.springframework.security.web.access.ExceptionTranslationFilter@7d364bce]
2024-08-20 21:32:50 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9000"]
2024-08-20 21:32:51 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 9000 (http) with context path '/'
2024-08-20 21:32:51 INFO  mytimeacty.MytimeactyApplication - Started MytimeactyApplication in 13.469 seconds (process running for 15.031)
2024-08-20 21:40:46 INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
2024-08-20 21:40:46 INFO  o.a.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-9000"]
2024-08-20 21:40:46 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-08-20 21:40:46 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-08-20 21:40:46 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
